"Row ID";"Order ID";"Order Date";"Ship Date";"Ship Mode";"Customer ID";"Customer Name";"Segment";"City";"State";"Country";"Postal Code";"Market";"Region";"Product ID";"Category";"Sub-Category";"Product Name";"Sales";"Quantity";"Discount";"Profit";"Shipping Cost";"Order Priority"
"34577";"CA-2011-102988";"05-04-2011";"09-04-2011";"Second Class";"GM-14695";"Greg Maxwell";"Corporate";"Alexandria";"Virginia";"United States";"22304.0";"US";"South";"OFF-SU-10002881";"Office Supplies";"Supplies";"Martin Yale Chadless Opener Electric Letter Opener";"4164.05";"5";"0.0";"83.281";"846.54";"High"
"28879";"ID-2012-28402";"19-04-2012";"22-04-2012";"First Class";"AJ-10780";"Anthony Jacobs";"Corporate";"Kabul";"Kabul";"Afghanistan";"";"APAC";"Central Asia";"FUR-TA-10001889";"Furniture";"Tables";"Bevis Conference Table, Fully Assembled";"4626.15";"5";"0.0";"647.55";"835.57";"High"
"45794";"SA-2011-1830";"27-12-2011";"29-12-2011";"Second Class";"MM-7260";"Magdelene Morse";"Consumer";"Jizan";"Jizan";"Saudi Arabia";"";"EMEA";"EMEA";"TEC-CIS-10001717";"Technology";"Phones";"Cisco Smart Phone, with Caller ID";"2616.96";"4";"0.0";"1151.4";"832.41";"Critical"
"4132";"MX-2012-130015";"13-11-2012";"13-11-2012";"Same Day";"VF-21715";"Vicky Freymann";"Home Office";"Toledo";"Parana";"Brazil";"";"LATAM";"South";"FUR-CH-10002033";"Furniture";"Chairs";"Harbour Creations Executive Leather Armchair, Adjustable";"2221.8";"7";"0.0";"622.02";"810.25";"Critical"
"27704";"IN-2013-73951";"06-06-2013";"08-06-2013";"Second Class";"PF-19120";"Peter Fuller";"Consumer";"Mudanjiang";"Heilongjiang";"China";"";"APAC";"North Asia";"OFF-AP-10003500";"Office Supplies";"Appliances";"KitchenAid Microwave, White";"3701.52";"12";"0.0";"1036.08";"804.54";"Critical"
"13779";"ES-2014-5099955";"31-07-2014";"03-08-2014";"Second Class";"BP-11185";"Ben Peterman";"Corporate";"Paris";"Ile-de-France";"France";"";"EU";"Central";"OFF-AP-10000423";"Office Supplies";"Appliances";"Breville Refrigerator, Red";"1869.588";"4";"0.1";"186.948";"801.66";"Critical"
"36178";"CA-2014-143567";"03-11-2014";"06-11-2014";"Second Class";"TB-21175";"Thomas Boland";"Corporate";"Henderson";"Kentucky";"United States";"42420.0";"US";"South";"TEC-AC-10004145";"Technology";"Accessories";"Logitech diNovo Edge Keyboard";"2249.91";"9";"0.0";"517.4793";"780.7";"Critical"
"12069";"ES-2014-1651774";"08-09-2014";"14-09-2014";"Standard Class";"PJ-18835";"Patrick Jones";"Corporate";"Prato";"Tuscany";"Italy";"";"EU";"South";"OFF-AP-10004512";"Office Supplies";"Appliances";"Hoover Stove, Red";"7958.58";"14";"0.0";"3979.08";"778.32";"Low"
"22096";"IN-2014-11763";"31-01-2014";"01-02-2014";"First Class";"JS-15685";"Jim Sink";"Corporate";"Townsville";"Queensland";"Australia";"";"APAC";"Oceania";"TEC-CO-10000865";"Technology";"Copiers";"Brother Fax Machine, High-Speed";"2565.594";"9";"0.1";"28.404";"766.93";"Critical"
"49463";"TZ-2014-8190";"05-12-2014";"07-12-2014";"Second Class";"RH-9555";"Ritsa Hightower";"Consumer";"Uvinza";"Kigoma";"Tanzania";"";"Africa";"Africa";"OFF-KIT-10004058";"Office Supplies";"Appliances";"KitchenAid Stove, White";"3409.74";"6";"0.0";"818.28";"763.38";"High"
"46630";"PL-2012-7820";"08-08-2012";"10-08-2012";"First Class";"AB-600";"Ann Blume";"Corporate";"Bytom";"Silesia";"Poland";"";"EMEA";"EMEA";"FUR-HON-10000224";"Furniture";"Tables";"Hon Computer Table, with Bottom Storage";"1977.72";"4";"0.0";"276.84";"759.47";"Critical"
"31784";"CA-2011-154627";"29-10-2011";"31-10-2011";"First Class";"SA-20830";"Sue Ann Reed";"Consumer";"Chicago";"Illinois";"United States";"60610.0";"US";"Central";"TEC-PH-10001363";"Technology";"Phones";"Apple iPhone 5S";"2735.952";"6";"0.2";"341.994";"752.51";"High"
"21586";"IN-2011-44803";"02-05-2011";"03-05-2011";"First Class";"JK-15325";"Jason Klamczynski";"Corporate";"Suzhou";"Anhui";"China";"";"APAC";"North Asia";"FUR-CH-10000027";"Furniture";"Chairs";"SAFCO Executive Leather Armchair, Black";"2754.0";"6";"0.0";"358.02";"752.47";"Critical"
"13528";"ES-2013-2860574";"27-02-2013";"01-03-2013";"Second Class";"LB-16795";"Laurel Beltran";"Home Office";"Edinburgh";"Scotland";"United Kingdom";"";"EU";"North";"OFF-AP-10003590";"Office Supplies";"Appliances";"KitchenAid Refrigerator, Black";"5273.7";"10";"0.0";"1898.4";"730.91";"High"
"1570";"US-2014-133193";"31-07-2014";"01-08-2014";"First Class";"NP-18325";"Naresj Patel";"Consumer";"Juárez";"Chihuahua";"Mexico";"";"LATAM";"North";"TEC-PH-10004182";"Technology";"Phones";"Motorola Smart Phone, Full Size";"1713.84";"4";"0.0";"445.52";"728.97";"Critical"
"3484";"MX-2014-165309";"05-09-2014";"08-09-2014";"First Class";"VD-21670";"Valerie Dominguez";"Consumer";"Soyapango";"San Salvador";"El Salvador";"";"LATAM";"Central";"FUR-TA-10002827";"Furniture";"Tables";"Hon Computer Table, Fully Assembled";"2106.496";"8";"0.2";"526.496";"728.39";"Critical"
"30191";"IN-2011-10286";"17-12-2011";"20-12-2011";"First Class";"PB-19210";"Phillip Breyer";"Corporate";"Taipei";"Taipei City";"Taiwan";"";"APAC";"North Asia";"FUR-TA-10004744";"Furniture";"Tables";"Lesro Conference Table, with Bottom Storage";"1715.16";"2";"0.0";"720.36";"725.57";"Critical"
"11645";"ES-2011-4699764";"14-03-2011";"17-03-2011";"Second Class";"EB-14110";"Eugene Barchas";"Consumer";"Leipzig";"Saxony";"Germany";"";"EU";"Central";"OFF-AP-10004512";"Office Supplies";"Appliances";"Hoover Stove, Red";"3069.738";"6";"0.1";"1364.238";"725.34";"Critical"
"37311";"CA-2013-159016";"11-03-2013";"12-03-2013";"First Class";"KF-16285";"Karen Ferguson";"Home Office";"Los Angeles";"California";"United States";"90008.0";"US";"West";"TEC-PH-10002885";"Technology";"Phones";"Apple iPhone 5";"4158.912";"8";"0.2";"363.9048";"714.66";"High"
"22999";"IN-2012-44810";"25-02-2012";"25-02-2012";"Same Day";"BP-11230";"Benjamin Patterson";"Consumer";"Surat";"Gujarat";"India";"";"APAC";"Central Asia";"FUR-CH-10001415";"Furniture";"Chairs";"Office Star Executive Leather Armchair, Red";"1878.72";"4";"0.0";"582.36";"704.08";"Critical"
"220";"US-2011-128776";"28-12-2011";"30-12-2011";"Second Class";"RR-19525";"Rick Reed";"Corporate";"Santo Domingo";"Santo Domingo";"Dominican Republic";"";"LATAM";"Caribbean";"TEC-PH-10002815";"Technology";"Phones";"Samsung Smart Phone, VoIP";"1696.64";"5";"0.2";"-148.46";"704.06";"Critical"
"10648";"ES-2012-5870268";"17-07-2012";"19-07-2012";"First Class";"BS-11365";"Bill Shonely";"Corporate";"Saint-Brieuc";"Brittany";"France";"";"EU";"Central";"TEC-MA-10000161";"Technology";"Machines";"Okidata Inkjet, Wireless";"2402.865";"9";"0.15";"763.155";"699.55";"Critical"
"32735";"CA-2012-139731";"15-10-2012";"15-10-2012";"Same Day";"JE-15745";"Joel Eaton";"Consumer";"Amarillo";"Texas";"United States";"79109.0";"US";"Central";"FUR-CH-10002024";"Furniture";"Chairs";"HON 5400 Series Task Chairs for Big and Tall";"2453.43";"5";"0.3";"-350.49";"690.42";"High"
"21286";"IN-2011-28087";"03-11-2011";"05-11-2011";"Second Class";"DP-13105";"Dave Poirier";"Corporate";"Gold Coast";"Queensland";"Australia";"";"APAC";"Oceania";"OFF-AP-10004246";"Office Supplies";"Appliances";"Breville Stove, Red";"2526.93";"5";"0.1";"561.48";"689.8";"Critical"
"32543";"CA-2011-168494";"12-12-2011";"14-12-2011";"Second Class";"NP-18700";"Nora Preis";"Consumer";"Fresno";"California";"United States";"93727.0";"US";"West";"FUR-TA-10003473";"Furniture";"Tables";"Bretford Rectangular Conference Table Tops";"3610.848";"12";"0.2";"135.4068";"683.12";"High"
"47905";"CG-2011-8610";"14-09-2011";"15-09-2011";"First Class";"AH-30";"Aaron Hawkins";"Corporate";"Kamina";"Katanga";"Democratic Republic of the Congo";"";"Africa";"Africa";"TEC-APP-10000308";"Technology";"Phones";"Apple Smart Phone, Full Size";"3817.26";"6";"0.0";"1068.66";"678.15";"High"
"36423";"CA-2011-160766";"14-09-2011";"14-09-2011";"Same Day";"DM-13015";"Darrin Martin";"Consumer";"New York City";"New York";"United States";"10009.0";"US";"East";"TEC-MA-10003979";"Technology";"Machines";"Ativa V4110MDD Micro-Cut Shredder";"2799.96";"4";"0.0";"1371.9804";"675.15";"High"
"31980";"US-2014-168116";"05-11-2014";"05-11-2014";"Same Day";"GT-14635";"Grant Thornton";"Corporate";"Burlington";"North Carolina";"United States";"27217.0";"US";"South";"TEC-MA-10004125";"Technology";"Machines";"Cubify CubeX 3D Printer Triple Head Print";"7999.98";"4";"0.5";"-3839.9904";"674.82";"High"
"15380";"ES-2014-2637201";"14-01-2014";"18-01-2014";"Standard Class";"PO-18865";"Patrick O'Donnell";"Consumer";"Stockton-on-Tees";"England";"United Kingdom";"";"EU";"North";"TEC-CO-10000013";"Technology";"Copiers";"Brother Fax Machine, Laser";"4141.02";"13";"0.0";"1697.67";"668.96";"High"
"28046";"IN-2011-61302";"10-01-2011";"11-01-2011";"First Class";"DL-12865";"Dan Lawera";"Consumer";"Brisbane";"Queensland";"Australia";"";"APAC";"Oceania";"TEC-PH-10004664";"Technology";"Phones";"Nokia Smart Phone, with Caller ID";"2875.095";"5";"0.1";"511.095";"665.27";"Medium"
"21316";"ID-2013-63976";"22-08-2013";"26-08-2013";"Standard Class";"JB-16000";"Joy Bell-";"Consumer";"Mataram";"Nusa Tenggara Barat";"Indonesia";"";"APAC";"Southeast Asia";"TEC-PH-10000499";"Technology";"Phones";"Motorola Smart Phone, Full Size";"3200.5962";"6";"0.17";"-77.2038";"660.87";"High"
"29272";"IN-2014-37320";"11-11-2014";"15-11-2014";"Standard Class";"BF-11005";"Barry Franz";"Home Office";"Gorakhpur";"Haryana";"India";"";"APAC";"Central Asia";"TEC-PH-10003856";"Technology";"Phones";"Motorola Smart Phone, with Caller ID";"4518.78";"7";"0.0";"632.52";"658.69";"High"
"25795";"IN-2014-76016";"26-09-2014";"28-09-2014";"Second Class";"VG-21805";"Vivek Grady";"Corporate";"Thiruvananthapuram";"Kerala";"India";"";"APAC";"Central Asia";"FUR-BO-10004852";"Furniture";"Bookcases";"Sauder Classic Bookcase, Traditional";"5667.87";"13";"0.0";"2097.03";"658.35";"Medium"
"16681";"ES-2012-5877219";"13-12-2012";"17-12-2012";"Standard Class";"GT-14710";"Greg Tran";"Consumer";"Huddersfield";"England";"United Kingdom";"";"EU";"North";"TEC-PH-10004583";"Technology";"Phones";"Motorola Smart Phone, Cordless";"5785.02";"9";"0.0";"404.73";"656.73";"High"
"15953";"IT-2011-3183678";"23-09-2011";"25-09-2011";"First Class";"ZC-21910";"Zuschuss Carroll";"Consumer";"Berlin";"Berlin";"Germany";"";"EU";"Central";"OFF-AP-10000486";"Office Supplies";"Appliances";"Cuisinart Stove, Silver";"3018.624";"7";"0.2";"377.244";"655.91";"Critical"
"35395";"CA-2011-116904";"23-09-2011";"28-09-2011";"Standard Class";"SC-20095";"Sanjit Chand";"Consumer";"Minneapolis";"Minnesota";"United States";"55407.0";"US";"Central";"OFF-BI-10001120";"Office Supplies";"Binders";"Ibico EPK-21 Electric Binding System";"9449.95";"5";"0.0";"4630.4755";"655.61";"Medium"
"13847";"IT-2013-3085011";"08-03-2013";"08-03-2013";"Same Day";"EB-13840";"Ellis Ballard";"Corporate";"Montreuil";"Ile-de-France";"France";"";"EU";"Central";"FUR-CH-10003365";"Furniture";"Chairs";"Office Star Executive Leather Armchair, Adjustable";"2092.5";"5";"0.1";"720.75";"652.98";"Critical"
"24341";"IN-2014-50473";"28-08-2014";"29-08-2014";"First Class";"AP-10915";"Arthur Prichep";"Consumer";"Shouguang";"Shandong";"China";"";"APAC";"North Asia";"FUR-CH-10000602";"Furniture";"Chairs";"Novimex Executive Leather Armchair, Red";"2761.2";"6";"0.0";"110.34";"644.75";"High"
"28701";"IN-2014-35983";"01-05-2014";"01-05-2014";"Same Day";"SW-20275";"Scott Williamson";"Consumer";"Jamshedpur";"Jharkhand";"India";"";"APAC";"Central Asia";"TEC-MA-10002680";"Technology";"Machines";"Konica Inkjet, White";"2174.13";"7";"0.0";"500.01";"637.86";"Critical"
